Last Name;First Name;Position_cat4;Position;Team;Nat;Ht;Wt;Hand;GP;G;A;A1;A2;PTS;Plus_min;E_plus_min;PIM;Shifts;TOI;TOI_2;TOI/GP;TOI%;IPP%;SH%;SV%;PDO;F/60;A/60;Pct%;Diff;Diff/60;iCF;iFF;iSF;ixG;iSCF;iRB;iRS;iDS;sDist;sDist_2;Pass;iHF;iHA;iHDf;iMiss;iGVA;iTKA;iBLK;BLK%;iFOW;iFOL;FO%;%FOT;dzFOW;dzFOL;nzFOW;nzFOL;ozFOW;ozFOL;FOW.Up;FOL.Up;FOW.Down;FOL.Down;FOW.Close;FOL.Close;OTG;1G;GWG;ENG;PSG;PSA;G.Bkhd;G.Dflct;G.Slap;G.Snap;G.Tip;G.Wrap;G.Wrst;CBar ;Post;Over;Wide;S.Bkhd;S.Dflct;S.Slap;S.Snap;S.Tip;S.Wrap;S.Wrst;iPenT;iPenD;iPENT;iPEND;iPenDf;NPD;Min;Maj;Match;Misc;Game;CF;CA;FF;FA;SF;SA;xGF;xGA;SCF;SCA;GF;GA;RBF;RBA;RSF;RSA;DSF;DSA;FOW;FOL;HF;HA;GVA;TKA;PENT;PEND;OPS;DPS;PS;SOS;SOG;SOGDG;OTOI;Grit;DAP;Pace;GS;GS/G
Stafford;Drew;Right wing;RW/LW;BOS/WPG;USA;74;214;R;58;8;13;9;4;21;6;-2.3;24;1063;47331;786.4;13.55;0.26;0.55;0.10;0.938;1035;2.9;1.83;0.61;14;1.07;155;131;109;9;31;7;6;13;30.5;29.2;185.4;62;44;18;22;28;13;3;0.01;7;15;0.32;0.03;2;2;1;3;3;10;1;5;4;6;5;11;0;3;3;0;0;0;1;0;0;0;0;2;5;0;0;4;18;10;1;6;9;5;3;75;12;7;13;6;-5;-9.1;12;0;0;0;0;722;664;539;512;394;389;35.2;30.6;124;105;38;24;24;18;37;41;61;59;357;387;293;287;140;85;55;40;1;1.1;2.1;2;0;0;2276.62;89;6.3;105.7;21.2;0.37
Stajan;Matt;Center;C;CGY;CAN;73;195;L;81;6;17;10;7;23;3;-0.9;40;1473;61631;1026.7;12.68;0.23;0.77;0.08;0.902;982;1.75;2.81;0.39;-18;-1.05;108;92;59;6.6;23;4;9;13;25.6;25.6;231.4;60;39;21;33;22;30;39;0.04;385;383;0.50;0.85;170;188;147;120;68;75;110;114;161;143;228;223;0;0;3;0;0;0;0;0;0;1;4;0;1;0;1;5;27;4;0;6;4;12;0;33;20;13;20;8;-7;-13.1;20;0;0;0;0;724;977;533;704;374;490;29.5;44.3;91;140;30;48;21;32;43;41;64;73;455;447;453;336;145;136;67;44;0.3;1.4;1.6;;;;3476.82;139;4.5;99.4;18.6;0.23
Stalberg;Viktor;Left wing;LW/RW;CAR/OTT;SWE;75;209;L;75;11;5;5;0;16;-9;-1.1;41;1366;54903;913.6;12.2;0.22;0.70;0.06;0.915;975;1.51;2.5;0.38;-15;-0.99;181;142;101;9.8;38;9;11;20;31;28.6;127.8;141;112;29;41;27;37;28;0.03;0;3;0.00;0.00;0;1;0;1;0;1;0;1;0;1;0;2;0;1;2;0;0;0;1;0;0;4;1;0;5;0;1;2;38;6;0;4;30;7;2;52;19;15;18;13;-4;-2.8;18;1;0;0;0;753;851;546;635;382;445;32.5;38.4;106;128;23;38;26;27;45;37;71;64;371;386;391;398;125;145;51;48;0.4;0.8;1.2;;;;3289.88;211;9.9;105.3;18.4;0.25
Stamkos;Steven;Center;C;T.B;CAN;73;194;R;17;9;11;9;2;20;3;1.5;14;366;18234;302.5;17.87;0.30;0.80;0.13;0.906;1039;4.96;2.38;0.68;13;2.58;100;76;58;6;27;3;2;5;29.3;28.7;119.2;21;16;5;18;6;15;3;0.01;106;92;0.54;0.66;33;29;37;35;36;28;37;42;38;28;52;40;0;2;1;0;0;0;0;0;3;1;2;0;3;0;2;3;13;3;0;22;6;4;0;23;7;4;7;3;-3;-3.4;7;0;0;0;0;354;222;262;178;188;128;19;11.9;73;37;25;12;8;10;12;19;20;29;159;141;83;118;41;49;25;17;2.3;0.5;2.8;2;0;0;692.83;38;5.1;114.2;21.3;1.26
Stastny;Paul;Center;C;STL;USA;72;202;L;66;18;22;16;6;40;4;1.2;36;1747;75793;1261.4;19.13;0.32;0.58;0.11;0.909;1018;3.28;2.43;0.58;18;0.86;172;145;112;13.1;53;12;5;17;21.2;18.2;245.5;51;37;14;33;9;24;35;0.03;786;624;0.56;0.98;285;244;250;160;251;220;279;206;226;209;501;367;0;3;5;0;0;0;1;1;0;0;6;0;10;0;4;1;28;15;3;1;9;15;1;68;18;5;17;3;-13;-9;18;0;0;0;0;1172;1062;886;776;635;560;55.7;46.8;180;140;69;51;34;35;29;35;63;70;795;640;314;394;113;124;91;74;2.9;1.7;4.5;;;;2643.74;122;4.2;106.3;40.8;0.62
Stecher;Troy;Defense;D;VAN;CAN;70;190;R;71;3;21;10;11;24;-16;-11.5;25;1719;85110;1410.1;19.98;0.35;0.38;0.09;0.915;999;2.68;2.55;0.51;3;0.13;307;184;125;5.8;4;5;6;11;50.8;46.8;160.2;51;128;-77;59;33;26;66;0.06;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;7;51;3;0;42;12;1;0;67;11;13;11;13;2;9.3;10;1;0;0;0;1391;1164;1028;929;745;703;65.5;58;231;190;63;60;36;40;47;47;83;87;739;717;374;502;147;136;72;88;1.3;2.4;3.7;;;;2621.01;143;7.7;108.7;22.9;0.32
Steen;Alex;Left wing;LW/C;STL;SWE;72;211;L;76;16;35;20;15;51;-2;-0.1;53;2047;88034;1462.6;19.3;0.32;0.70;0.11;0.902;1013;2.99;2.71;0.53;7;0.29;228;174;117;12.6;41;6;6;12;30.3;27.9;294.5;33;101;-68;57;18;27;69;0.05;101;146;0.41;0.14;32;43;39;47;30;56;34;38;27;43;59;108;0;2;2;4;0;0;0;0;3;2;1;0;10;2;3;6;46;10;0;25;7;12;0;63;21;24;19;16;3;-2.5;19;1;0;1;0;1238;1285;926;931;655;673;61.6;56.4;206;182;73;66;41;43;33;48;74;91;871;866;300;448;122;134;92;74;3.3;1.6;5;2;1;0;3053.95;156;3.2;103.5;42.3;0.56
Stempniak;Lee;Right wing;RW;CAR;USA;71;195;R;82;16;24;13;11;40;2;0.8;32;1705;77952;1278.8;15.85;0.28;0.61;0.10;0.913;1016;3.1;2.3;0.57;17;0.8;244;182;131;17.8;70;17;24;41;26.1;24.7;239.4;113;117;-5;56;49;57;16;0.02;3;5;0.38;0.01;0;1;0;2;3;2;0;1;2;2;1;3;0;1;2;1;0;0;1;2;0;5;0;0;8;0;5;5;46;15;4;6;39;5;0;62;15;14;22;12;-1;-9;15;0;0;0;0;1281;1049;894;808;641;566;65.2;49.4;216;168;66;49;61;39;79;60;140;99;592;539;350;488;230;207;59;67;2.5;1.8;4.3;3;2;1;3294.23;161;11.3;109.3;36;0.44
Stepan;Derek;Center;C;NYR;USA;72;196;R;81;17;38;24;14;55;19;10.3;16;2057;90437;1504.8;18.62;0.31;0.67;0.10;0.921;1017;3.27;2.03;0.62;31;1.24;334;264;209;16.7;62;10;12;22;34.2;30.1;426;26;98;-72;55;56;51;45;0.04;716;806;0.47;0.93;244;250;209;250;263;305;252;267;184;222;456;515;0;4;2;1;0;0;2;0;3;2;3;1;6;1;4;1;49;17;1;17;37;12;1;124;8;7;8;5;-1;-1.7;8;0;0;0;0;1536;1281;1162;915;851;643;80.2;56.6;277;190;82;51;61;40;64;63;125;103;771;861;415;458;268;196;65;84;3.8;2.2;5.9;2;0;0;3325.31;87;9.6;112.3;57.6;0.71
Stephenson;Chandler;Center;C;WSH;CAN;72;204;L;4;0;0;0;0;0;0;0;0;46;2131;35.5;8.88;0.17;0.00;0.00;0.941;941;0;1.69;0.00;-1;-1.69;4;3;3;0.3;1;0;0;0;17.7;17;0;0;2;-2;0;0;1;0;0.00;12;13;0.48;0.83;7;6;2;3;3;4;5;7;6;2;4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;32;23;25;21;15;17;1.1;1.5;2;5;0;1;0;0;1;1;1;1;14;16;14;11;2;4;2;2;-0.1;0;-0.1;;;;168.88;0;0;92.9;0.8;0.19
Stewart;Chris;Right wing;RW/LW;MIN;CAN;74;239;R;79;13;8;4;4;21;3;-10.6;94;1129;49244;819.9;10.38;0.20;0.81;0.09;0.953;1040;1.9;1.54;0.55;5;0.37;133;109;82;8.3;27;8;8;16;25.8;24.5;86.1;85;47;38;27;15;15;19;0.02;2;9;0.18;0.02;0;0;0;1;2;8;0;4;2;1;1;6;0;1;0;0;0;0;2;1;0;1;1;0;8;0;0;1;26;12;2;3;7;5;0;53;24;9;21;12;-15;-8.8;12;10;0;2;0;590;836;431;624;302;451;25.8;30.2;77;73;26;21;17;17;30;33;47;50;333;371;317;300;101;78;55;46;1.5;0.8;2.3;2;2;1;3258.03;208;8.3;104.4;7.9;0.1
Stollery;Karl;Defense;D;N.J;CAN;71;180;L;11;0;3;0;3;3;-5;0.8;13;245;11166;186.1;16.92;0.30;0.38;0.09;0.867;955;2.58;3.22;0.44;-2;-0.64;23;16;11;0.7;1;0;1;1;56.3;33.3;0;26;15;11;5;6;3;16;0.11;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;6;4;0;0;1;5;5;5;3;0;0.1;4;1;0;0;0;163;144;127;104;91;75;9.8;6.2;26;11;8;10;9;2;7;5;16;7;82;75;80;76;28;22;12;12;0.1;0.1;0.2;;;;438.57;56;7.3;99;1.7;0.15
Stone;Mark;Right wing;RW;OTT;CAN;75;206;R;71;22;32;17;15;54;12;6.3;25;1610;79072;1313.6;18.57;0.32;0.64;0.11;0.912;1017;3.88;2.06;0.65;40;1.83;229;188;134;16;55;22;13;35;28;24;269.1;43;67;-24;54;47;96;53;0.05;10;15;0.40;0.02;1;0;1;2;8;13;1;1;4;5;7;9;0;2;5;2;0;0;3;0;3;2;1;2;11;0;1;9;44;16;2;13;21;10;3;69;11;21;11;19;10;10.7;10;1;0;0;0;1513;999;1125;728;806;510;70.9;45.4;206;155;85;45;78;37;94;62;172;99;721;649;444;428;231;171;80;101;4.8;2.1;6.8;2;0;0;2758.76;122;13.9;114.7;60.7;0.85
Stone;Michael;Defense;D;ARI/CGY;CAN;75;210;R;64;3;12;6;6;15;0;-13.1;32;1705;76099;1264.2;19.82;0.34;0.34;0.09;0.925;1010;2.09;2.47;0.46;-8;-0.38;186;127;81;3.2;0;4;1;5;52.8;49.2;145;125;86;39;46;26;5;143;0.11;1;0;1.00;0.00;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;9;37;0;0;46;7;0;0;28;16;6;16;5;-10;-0.8;16;0;0;0;0;999;1334;736;985;517;694;47.1;63.9;162;213;44;52;42;47;53;55;95;102;624;649;512;373;167;112;68;68;0.4;2.9;3.3;;;;2434.38;300;8.1;110.7;8.4;0.13
Stoner;Clayton;Defense;D;ANA;CAN;76;216;L;14;1;2;1;1;3;0;1.4;28;325;14743;245.3;17.55;0.32;0.60;0.05;0.946;991;1.22;1.47;0.46;-1;-0.24;29;19;16;0.6;1;0;1;1;47.8;46.9;37.4;35;26;9;3;3;2;17;0.08;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;10;4;0;0;2;7;6;5;3;-1;0.1;4;2;0;1;0;197;222;148;155;112;111;9.7;10.6;31;40;5;6;6;8;12;8;18;16;135;115;129;85;20;27;16;20;0.1;0.6;0.7;;;;514.44;82;9.3;102.5;4.3;0.31
Strait;Brian;Defense;D;WPG;USA;73;206;L;5;0;2;2;0;2;-1;-0.5;0;113;4779;79.1;15.93;0.30;0.50;0.14;0.917;1060;3.03;2.27;0.57;1;0.76;10;7;3;0.2;0;0;0;0;39.7;45.2;45;5;2;3;4;0;0;8;0.09;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;2;0;0;0;0;0;0.4;0;0;0;0;0;68;89;49;59;28;36;3.6;3.9;12;15;4;3;2;1;3;9;5;10;34;37;40;21;13;11;6;4;0.1;0;0.2;;;;187.46;13;0;119;1;0.21
Stralman;Anton;Defense;D;T.B;SWE;71;190;R;73;5;17;8;9;22;1;1.8;20;1963;100304;1664.1;22.9;0.38;0.32;0.09;0.908;997;2.45;2.85;0.46;-11;-0.4;257;183;130;6.2;9;6;4;10;48.9;44;146.9;106;78;28;53;27;26;96;0.06;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;0;1;9;43;7;0;40;5;2;0;76;10;10;10;9;0;9.9;10;0;0;0;0;1441;1524;1101;1182;770;861;68.3;68.3;223;192;68;79;56;50;71;82;127;132;831;919;600;568;209;187;83;96;0.9;3.9;4.8;1;0;0;2678.66;222;13.2;106.9;32.1;0.44
Street;Ben;Center;C;DET;CAN;71;199;L;6;0;1;1;0;1;1;1.1;0;77;2970;49.5;8.25;0.16;1.00;0.03;1;1032;1.21;0;1.00;1;1.21;11;11;8;0.9;4;1;0;1;33.4;32;53.5;3;6;-3;3;2;0;0;0.00;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;54;46;42;36;31;23;3;2;13;6;1;0;5;2;0;2;5;4;16;19;18;28;7;5;0;3;0;0.1;0.1;;;;266.72;3;0;121.3;1.9;0.31
Streit;Mark;Defense;D;PHI/PIT;CHE;71;191;L;68;6;21;6;15;27;-12;3.1;28;1691;76492;1272.5;18.72;0.33;0.49;0.08;0.921;995;2.59;2.17;0.55;9;0.42;224;154;114;7.3;15;9;3;12;48.4;45.5;107.7;38;91;-53;40;39;16;92;0.08;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;4;0;1;3;36;3;0;47;18;2;0;44;14;7;13;5;-7;0.2;14;0;0;0;0;1366;1100;1006;793;737;579;66.2;54;213;186;55;46;69;70;62;65;131;135;570;587;503;567;177;117;71;72;2.1;1.8;3.9;;;;2637.71;158;3.9;116.3;30;0.44
Strome;Dylan;Center;C;ARI;CAN;75;185;L;7;0;1;1;0;1;-5;-2.6;0;130;5747;95.6;13.68;0.25;0.50;0.04;0.891;928;1.25;4.39;0.22;-5;-3.14;16;12;6;0.7;2;0;2;2;30.5;33.2;38.3;3;2;1;6;0;3;2;0.02;31;46;0.40;0.95;6;5;15;15;10;26;3;7;12;23;25;28;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;1;0;0;5;0;1;1;1;1;1.2;0;0;0;0;0;93;102;72;85;54;64;4;5.4;12;21;2;7;5;7;4;3;9;10;33;48;40;30;12;8;10;6;-0.2;-0.1;-0.3;;;;288.33;5;0;122.4;-0.3;-0.04
Strome;Ryan;Right wing;RW/C;NYI;CAN;73;199;R;69;13;17;10;7;30;-8;-5.4;40;1265;60476;1001.5;14.6;0.26;0.67;0.08;0.927;1010;2.7;1.98;0.58;12;0.72;203;156;114;11.7;48;5;5;10;29.8;27.1;219.2;59;49;10;42;32;33;21;0.02;147;197;0.43;0.37;54;69;45;71;48;57;36;37;50;76;97;130;0;4;2;0;0;0;0;0;1;1;0;0;11;0;3;8;31;5;1;9;20;10;0;69;17;6;15;5;-11;-7.9;15;2;0;0;0;1020;875;756;651;547;455;51.8;40.4;177;133;45;33;33;25;36;42;69;67;436;487;401;347;168;127;57;62;2;0.6;2.6;1;1;0;2839.4;122;6.1;113.5;20.8;0.3
