Last Name;First Name;Position_cat4;Position;Team;Nat;Ht;Wt;Hand;GP;G;A;A1;A2;PTS;Plus_min;E_plus_min;PIM;Shifts;TOI;TOI_2;TOI/GP;TOI%;IPP%;SH%;SV%;PDO;F/60;A/60;Pct%;Diff;Diff/60;iCF;iFF;iSF;ixG;iSCF;iRB;iRS;iDS;sDist;sDist_2;Pass;iHF;iHA;iHDf;iMiss;iGVA;iTKA;iBLK;BLK%;iFOW;iFOL;FO%;%FOT;dzFOW;dzFOL;nzFOW;nzFOL;ozFOW;ozFOL;FOW.Up;FOL.Up;FOW.Down;FOL.Down;FOW.Close;FOL.Close;OTG;1G;GWG;ENG;PSG;PSA;G.Bkhd;G.Dflct;G.Slap;G.Snap;G.Tip;G.Wrap;G.Wrst;CBar ;Post;Over;Wide;S.Bkhd;S.Dflct;S.Slap;S.Snap;S.Tip;S.Wrap;S.Wrst;iPenT;iPenD;iPENT;iPEND;iPenDf;NPD;Min;Maj;Match;Misc;Game;CF;CA;FF;FA;SF;SA;xGF;xGA;SCF;SCA;GF;GA;RBF;RBA;RSF;RSA;DSF;DSA;FOW;FOL;HF;HA;GVA;TKA;PENT;PEND;OPS;DPS;PS;SOS;SOG;SOGDG;OTOI;Grit;DAP;Pace;GS;GS/G
Abbott;Spencer;Left wing;LW;CHI;CAN;69;170;R;1;0;0;0;0;0;0;0.1;0;12;514;8.6;8.57;0.17;0.00;0.00;1;1000;0;0;0.00;0;0;2;1;1;0.1;0;0;0;0;15;14.1;0;0;3;-3;0;0;1;0;0.00;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;7;6;6;5;4;0.2;0.4;0;1;0;0;0;0;0;1;0;1;4;2;2;9;1;1;0;1;0;0;0;;;;42.63;0;0;126;0.3;0.28
Abdelkader;Justin;Left wing;LW/RW;DET;USA;74;218;L;64;7;14;9;5;21;-20;-3.7;50;1397;63969;1040.9;16.65;0.28;0.62;0.07;0.909;977;1.96;2.59;0.43;-11;-0.63;158;138;104;13;49;7;10;17;26.8;25;237.7;144;74;66;36;18;15;27;0.03;5;12;0.29;0.02;0;0;1;4;4;8;1;2;2;3;2;10;1;5;1;0;0;0;1;1;1;1;0;0;3;0;0;1;35;6;6;16;11;19;1;45;22;32;20;28;10;8.6;20;2;0;0;0;916;895;697;671;498;495;48.5;44.3;168;151;34;45;24;31;37;45;61;76;500;471;361;367;143;81;64;74;0.1;0.5;0.7;;;;2641.98;223;8;104.4;16.1;0.26
Aberg;Pontus;Left wing;LW;NSH;SWE;71;196;R;15;1;1;0;1;2;-2;-1.2;4;256;11102;185;12.33;0.25;0.40;0.07;0.921;986;1.62;2.27;0.42;-2;-0.65;24;15;12;0.5;0;0;1;1;32.9;31.8;0;9;17;-8;3;2;5;2;0.01;1;0;1.00;0.01;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;1;0;1;1;1;8;2;3;2;2;1;0;2;0;0;0;0;142;159;106;117;77;89;5.6;6;18;20;5;7;4;4;10;9;14;13;97;92;68;72;28;23;13;13;-0.2;0.1;-0.1;;;;558.17;15;7;97.6;1;0.06
Acciari;Noel;Center;C;BOS;USA;70;208;R;29;2;3;1;2;5;3;0.5;16;431;18047;300.5;10.23;0.21;0.56;0.08;0.959;1035;1.8;1.2;0.60;3;0.6;NA;NA;24;2.6;10;NA;2;NA;23.8;NA;25.6;80;59;21;8;4;10;5;0.02;11;18;0.38;0.11;3;6;2;3;6;9;7;3;1;6;6;12;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;8;1;0;0;5;2;1;14;4;5;4;2;1;-2;3;0;0;1;0;232;251;172;193;118;146;10.3;9.3;31;24;9;6;8;3;10;13;18;16;144;132;184;177;28;45;29;23;0;0.5;0.5;;;;1141.29;101;30;96.4;4.8;0.17
Agostino;Kenny;Left wing;LW;STL;USA;72;202;L;7;1;2;2;0;3;0;1.9;2;117;5366;89.4;12.78;0.25;0.75;0.07;0.912;982;2.69;2.01;0.57;1;0.67;26;24;17;1.4;4;1;1;2;31.4;32.7;38.5;9;7;2;7;4;1;3;0.05;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;6;4;0;2;3;0;0;8;1;1;1;1;0;0.1;1;0;0;0;0;95;65;77;48;57;34;5.2;3.3;20;10;4;3;3;4;3;4;6;8;29;38;30;39;14;8;5;3;0.2;0.1;0.3;;;;271.29;14;10;107.4;4.6;0.66
Aho;Sebastian;Right wing;RW/LW;CAR;FIN;71;172;L;82;24;25;12;13;49;-1;5.1;26;1814;82591;1357.5;16.78;0.29;0.69;0.09;0.911;1005;3.14;2.21;0.59;21;0.93;360;285;214;24.4;77;25;26;51;26;25.7;215.3;51;91;-42;71;57;40;14;0.01;17;18;0.49;0.03;1;0;11;10;5;8;2;3;10;2;9;14;1;5;4;2;0;0;1;2;4;7;1;0;9;0;2;3;66;26;8;17;47;12;7;97;13;22;12;20;9;7.2;13;0;0;0;0;1443;1018;1070;798;757;561;80.1;50.4;283;167;71;50;82;43;68;53;150;96;705;558;373;493;236;203;53;66;4.2;1.8;5.9;5;2;0;3267.64;91;7;108.8;57.6;0.71
Alzner;Karl;Defense;D;WSH;CAN;75;219;L;82;3;10;5;5;13;23;-5.4;28;2095;97371;1618.1;19.8;0.35;0.21;0.10;0.932;1029;2.3;2.11;0.52;5;0.19;162;121;81;3.4;4;2;5;7;53.5;48.7;96.6;105;106;-1;40;52;17;162;0.10;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;2;0;1;5;34;2;0;25;19;1;0;34;14;9;14;6;-5;-0.4;14;0;0;0;0;1182;1671;894;1226;641;840;54.5;82.7;182;305;62;57;44;78;80;96;124;174;907;865;552;530;293;196;92;75;-0.3;4.8;4.6;;;;3045.6;295;8.7;105.8;18.5;0.23
Anderson;Josh;Right wing;RW;CBJ;CAN;75;221;R;78;17;12;8;4;29;12;-0.1;89;1364;56253;936.1;12.02;0.23;0.69;0.10;0.939;1034;2.69;1.92;0.58;12;0.77;193;160;119;14.1;53;10;9;19;27.8;25;134.1;147;86;61;41;16;25;40;0.04;8;21;0.28;0.03;1;2;1;7;6;12;1;4;4;8;5;14;0;3;3;0;0;0;5;0;0;5;1;0;6;1;1;5;34;20;0;9;34;7;1;48;37;24;32;17;-13;-14.9;32;5;0;0;0;780;903;590;669;443;490;39.7;43.6;134;149;42;30;34;37;42;39;76;76;423;468;391;352;96;87;65;50;2.6;1.5;4;;;;3226.96;281;5.4;107.9;25.9;0.33
Andersson;Rasmus;Defense;D;CGY;SWE;73;214;R;1;0;0;0;0;0;-1;0.2;0;23;1113;18.6;18.55;0.31;0.00;0.00;0.8;800;0;3.23;0.00;-1;-3.23;1;0;0;0;0;0;0;0;0;NA;0;4;1;3;0;0;0;2;0.13;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0.1;0;0;0;0;0;15;15;6;9;6;5;0.7;0.5;2;0;0;1;3;0;1;0;4;0;5;7;9;6;3;0;0;0;0;0;-0.1;;;;41.45;6;0;97;-0.1;-0.05
Andreoff;Andy;Left wing;LW/C;L.A;CAN;73;210;L;36;0;2;2;0;2;-2;0.5;70;527;22888;381.1;10.6;0.21;0.33;0.04;0.939;973;0.94;1.42;0.40;-3;-0.47;81;57;38;4.1;12;5;2;7;27.2;24.5;116.5;70;47;23;19;10;5;7;0.02;41;28;0.59;0.24;12;13;14;5;15;10;15;10;14;11;22;18;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;17;5;0;2;9;1;0;21;19;9;18;8;-10;-11;14;2;0;2;1;359;308;254;228;173;147;16.2;15.7;47;55;6;9;18;13;15;27;33;40;136;150;242;215;52;28;46;27;-0.9;0.5;-0.4;;;;1457.01;149;5.4;105;5.4;0.15
Andrighetto;Sven;Right wing;RW;COL/MTL;CHE;70;188;L;46;7;17;9;8;24;1;1.3;12;845;38550;641.5;13.97;0.26;0.86;0.09;0.931;1019;2.62;1.87;0.58;8;0.75;130;91;68;5.9;16;7;10;17;29.9;28.2;194.4;40;47;-7;23;9;19;22;0.04;7;3;0.70;0.02;0;0;1;1;6;2;5;0;1;1;5;2;0;0;0;0;0;0;1;0;1;0;1;1;3;0;1;2;20;5;0;7;7;2;1;46;6;7;6;5;1;0.6;6;0;0;0;0;613;528;441;386;318;289;26.8;22.9;84;71;28;20;27;22;35;24;62;46;338;287;183;232;90;73;26;27;1.5;0.9;2.4;;;;1792.07;74;9.8;106.7;22.3;0.48
Anisimov;Artem;Center;C/LW;CHI;RUS;76;198;L;64;22;23;12;11;45;9;-2.7;30;1401;68529;1138.6;17.85;0.31;0.66;0.12;0.92;1038;3.58;2.42;0.60;22;1.16;191;140;105;16;68;9;10;19;20.7;20.6;232.1;18;73;-55;35;16;35;27;0.03;416;506;0.45;0.88;86;110;151;188;179;208;91;131;164;191;282;336;1;4;7;1;0;0;1;1;0;2;5;0;13;0;2;7;26;17;1;1;10;14;2;60;15;9;15;9;-6;-0.2;15;0;0;0;0;1112;977;793;745;575;576;52.1;51.5;173;177;68;46;19;47;48;56;67;103;459;588;151;401;163;129;60;54;4.2;1.4;5.6;1;0;0;2544.57;75;3.5;110.1;39.1;0.61
Archibald;Josh;Right wing;RW;PIT;CAN;70;176;R;10;3;0;0;0;3;3;-0.6;4;163;6519;108.6;10.87;0.20;0.50;0.13;0.949;1077;3.31;1.66;0.67;3;1.66;24;20;11;2.1;6;1;2;3;28.1;24.8;0;28;13;15;9;2;0;2;0.02;0;1;0.00;0.01;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;9;2;0;1;3;0;0;5;2;2;2;2;0;0;2;0;0;0;0;89;115;68;84;47;59;5.8;6;20;23;6;3;5;7;4;6;9;13;42;53;82;65;18;4;3;3;0.4;0.2;0.6;;;;434.58;34;14;112.7;2.5;0.25
Armia;Joel;Right wing;RW;WPG;FIN;75;205;R;57;10;9;6;3;19;-8;-2;20;1226;51769;847.6;15.13;0.27;0.68;0.07;0.913;985;1.98;3.11;0.39;-16;-1.13;191;140;111;12.1;42;9;26;35;28.2;25.8;158.6;68;48;18;32;19;42;30;0.03;3;4;0.43;0.01;0;0;2;3;1;1;2;0;0;3;1;1;0;0;1;0;0;0;0;0;0;1;1;1;7;1;4;3;24;12;3;5;9;7;5;70;10;14;10;13;4;3.5;10;0;0;0;0;682;871;517;655;387;505;34.9;43.7;118;136;28;44;29;42;51;43;80;85;414;392;391;284;117;98;47;41;0.8;0.4;1.2;;;;2303.64;118;11;109.9;17.2;0.31
Arvidsson;Viktor;Left wing;LW/RW;NSH;SWE;69;180;R;80;31;30;14;16;61;16;2.7;28;1906;82343;1366.7;17.15;0.29;0.72;0.10;0.905;1008;3.73;2.81;0.57;21;0.92;411;340;246;22.9;72;14;30;44;29.4;28.3;249.9;23;156;-133;95;26;37;45;0.04;4;12;0.25;0.01;0;0;0;2;4;10;0;3;3;5;3;10;1;7;6;2;0;0;1;1;3;2;5;0;19;0;6;10;79;24;2;48;17;12;4;139;14;27;14;22;13;7.8;14;0;0;0;0;1544;1189;1173;932;828;677;71.4;58.6;220;184;85;64;55;42;69;49;124;91;756;622;316;471;227;173;69;91;6.5;2.1;8.7;1;0;0;3322.92;96;4.3;120;77.4;0.97
Athanasiou;Andreas;Center;C;DET;CAN;74;188;L;64;18;11;5;6;29;-7;-6.6;28;1204;51703;847.1;13.47;0.24;0.73;0.10;0.899;998;2.83;3.05;0.48;-3;-0.21;231;177;120;11.8;39;5;7;12;27.3;26.3;104.7;30;60;-30;61;19;17;21;0.03;37;46;0.45;0.11;9;7;15;23;13;16;13;18;9;12;23;33;2;1;3;0;0;0;1;1;2;3;0;0;11;1;2;7;51;15;2;9;16;3;2;73;10;14;10;12;4;3.9;8;2;0;0;0;758;753;590;588;402;425;37.6;35.9;125;114;40;43;19;21;27;32;46;53;433;340;233;315;131;58;52;50;2.8;0.8;3.6;6;1;1;2690.94;81;5.9;107;25.6;0.41
Atkinson;Cam;Right wing;RW;CBJ;USA;68;182;R;82;35;27;18;9;62;13;-2.3;22;1966;88972;1474.3;18.08;0.30;0.70;0.11;0.937;1047;3.62;1.99;0.65;40;1.63;400;303;240;25.3;96;19;15;34;29.2;27;286.6;33;41;-8;63;21;36;34;0.02;2;1;0.67;0.00;2;1;0;0;0;0;0;0;1;0;1;1;3;8;9;2;0;1;1;0;3;13;2;0;16;0;2;4;57;25;3;21;68;6;3;114;11;9;11;7;-2;0.3;11;0;0;0;0;1509;1453;1097;1097;808;778;83.4;75.5;306;255;89;49;79;68;49;47;128;115;856;856;542;348;138;147;71;71;6.8;2;8.9;4;2;1;3424.44;89;6.3;120.5;61.7;0.75
Austin;Brady;Defense;D;BUF;CAN;76;230;L;5;0;0;0;0;0;0;0.7;4;126;4827;80.4;16.08;0.30;0.00;0.06;0.933;990;2.24;2.24;0.50;0;0;10;9;8;0.1;0;0;1;1;57.8;57.7;0;6;8;-2;1;2;1;0;0.00;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;6;2;0;2;0;-2;-1.6;2;0;0;0;0;78;70;66;57;53;45;4.1;3.9;15;12;3;3;2;3;5;5;7;8;32;39;35;25;11;6;5;1;-0.1;0.2;0.1;;;;186.86;10;3.5;110.4;0.9;0.17
Auvitu;Yohann;Defense;D/LW;N.J;FRA;71;191;L;25;2;2;1;1;4;1;0.1;2;505;23405;389.3;15.6;0.29;0.31;0.06;0.944;1005;2;1.54;0.57;3;0.46;87;67;54;1.7;0;0;5;5;53.2;51.8;23.4;20;12;8;13;13;7;9;0.03;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;11;1;0;19;16;0;1;17;1;0;1;0;-1;1.3;1;0;0;0;0;366;294;282;240;214;178;16.1;14.2;46;43;13;10;6;9;10;16;16;25;177;146;130;169;58;40;26;23;0.2;1.1;1.3;;;;958.64;31;27;101.7;7.9;0.31
Backes;David;Right wing;RW/C;BOS;USA;75;221;R;74;17;21;12;9;38;2;10;69;1571;76007;1264.1;17.05;0.30;0.59;0.08;0.897;981;3.09;2.52;0.55;12;0.57;286;241;175;17.7;65;10;14;24;33.9;30.5;270.3;226;99;126;66;35;28;47;0.05;60;63;0.49;0.09;20;22;12;19;28;22;15;16;19;30;38;31;0;4;2;2;0;0;0;2;2;5;2;0;6;0;1;5;60;14;3;10;36;16;0;96;26;19;24;17;-7;-0.1;22;3;0;1;0;1431;972;1083;717;776;517;63.7;40.7;199;126;65;53;38;21;46;44;84;65;730;575;473;504;204;153;83;70;2.7;1.7;4.5;1;0;0;2968.55;345;11.5;114.1;52.2;0.71
Backlund;Mikael;Center;C;CGY;SWE;73;199;L;81;22;31;21;10;53;9;5.6;36;1914;85565;1424.4;17.6;0.30;0.67;0.10;0.896;997;3.33;2.82;0.54;12;0.51;338;272;197;20.4;73;18;31;49;29.6;28.3;315.7;55;38;17;75;49;57;41;0.03;711;768;0.48;0.96;310;381;229;226;172;161;212;255;262;246;420;475;2;4;7;0;0;0;2;0;1;1;4;0;14;1;5;11;58;17;4;18;27;15;1;115;14;9;12;6;-5;-6.1;13;0;0;0;1;1427;1226;1079;917;778;643;70.9;66.4;224;238;79;67;57;45;87;63;144;108;737;806;337;339;219;182;99;84;4.1;2.1;6.2;1;0;0;3392.51;132;8.6;111.8;61.5;0.76
Backstrom;Nicklas;Center;C;WSH;SWE;73;213;L;82;23;63;32;31;86;17;1.3;38;1842;89839;1495.3;18.27;0.31;0.84;0.12;0.923;1042;4.09;1.97;0.68;53;2.13;268;218;162;17;64;14;16;30;30.6;29.3;454.6;45;71;-26;57;54;61;33;0.03;685;648;0.51;0.82;170;205;247;213;268;230;210;169;237;243;417;404;2;5;5;1;0;0;3;1;1;4;2;0;12;0;5;8;44;12;4;14;34;12;0;86;19;11;19;8;-8;-4.1;19;0;0;0;0;1626;1237;1254;939;858;635;85;60.8;279;217;102;49;56;49;71;82;127;131;846;790;493;435;267;204;90;73;7.8;2.1;9.9;5;1;0;3337.35;116;5.6;114.9;74.5;0.91
Baertschi;Sven;Left wing;LW;VAN;CHE;71;192;L;68;18;17;8;9;35;-6;-4;8;1461;64773;1077;15.88;0.29;0.67;0.10;0.905;1004;2.9;2.73;0.52;3;0.17;185;149;114;13.6;53;11;6;17;24.1;23.4;134.2;52;78;-26;35;23;39;29;0.03;1;0;1.00;0.00;0;0;0;0;1;0;1;0;0;0;1;0;0;4;5;0;0;0;4;2;0;0;1;0;11;0;0;4;31;12;10;2;10;4;0;76;3;12;6;9;9;3.6;3;0;0;0;0;970;945;734;715;527;518;51.9;45.2;180;144;52;49;36;33;40;47;76;80;574;533;307;404;141;114;51;38;2.9;1.2;4.1;2;0;0;2692.52;89;30.3;106.7;28.5;0.42
Bailey;Casey;Right wing;RW/C;OTT;USA;75;195;R;7;0;0;0;0;0;-1;1.9;0;78;3358;56;8;0.17;0.00;0.00;0.941;941;0;1.07;0.00;-1;-1.07;12;10;10;0.5;1;0;0;0;37.3;31.3;0;4;8;-4;0;0;1;4;0.08;0;1;0.00;0.03;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;5;0;1;0;1;1;1;0;0;0;0;0;46;48;40;28;34;17;1.9;1.1;6;1;0;1;0;0;3;2;3;2;15;22;35;30;4;7;3;2;-0.2;0;-0.1;;;;282.4;8;0;100.7;0.8;0.12
Bailey;Josh;Right wing;RW/LW/C;NYI;CAN;73;210;L;82;13;43;30;13;56;5;0.7;12;1840;90388;1503;18.37;0.32;0.62;0.10;0.902;1006;3.59;2.67;0.57;23;0.92;304;229;173;19.3;75;16;20;36;30.8;26.2;479.7;37;71;-34;56;61;54;53;0.04;8;7;0.53;0.01;3;3;2;2;3;2;6;3;1;4;2;3;1;3;1;0;0;0;0;0;3;2;4;0;4;0;4;9;43;12;4;20;27;16;0;94;5;11;6;9;6;4.7;5;0;0;0;0;1615;1316;1204;948;862;681;84.7;62.3;297;229;90;67;56;30;81;53;137;83;765;756;449;443;281;192;74;92;3.6;1.6;5.2;2;0;0;3229.5;102;18.2;117;56.3;0.69
Bailey;Justin;Right wing;RW;BUF;USA;75;214;R;32;2;2;1;1;4;0;-3.7;4;468;20414;340.1;10.63;0.21;0.36;0.07;0.952;1024;1.94;1.76;0.52;1;0.18;75;49;36;2.7;10;3;4;7;32.9;33.8;25.3;27;23;4;13;10;8;14;0.04;0;1;0.00;0.00;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;11;7;1;2;3;1;0;22;2;9;2;6;7;2;2;0;0;0;0;282;370;212;275;152;208;11.3;15.4;37;52;11;10;9;17;15;10;24;27;169;143;137;132;41;37;21;15;-0.3;0.4;0.1;;;;1246.52;45;17.5;115;2.4;0.08
Baptiste;Nicholas;Right wing;RW;BUF;CAN;73;206;R;14;3;1;0;1;4;1;-1.4;6;190;7761;129.3;9.23;0.18;0.67;0.11;0.96;1069;2.79;1.39;0.67;3;1.39;21;21;17;1.4;7;1;0;1;27.8;29;0;12;8;4;4;1;1;1;0.01;1;2;0.33;0.02;0;0;0;1;1;1;0;0;1;2;1;1;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;4;1;0;2;0;1;0;13;3;0;5;0;-3;-3.9;3;0;0;0;0;106;118;77;97;55;75;3.9;4.9;15;18;6;3;3;3;5;3;8;6;67;69;68;56;11;5;9;5;0.4;0.2;0.6;;;;597.35;19;4.3;104;2.5;0.18
Barbashev;Ivan;Center;C;STL;RUS;72;180;L;30;5;7;4;3;12;5;2.4;2;489;21224;353.7;11.78;0.22;0.75;0.10;0.943;1038;2.71;1.53;0.64;7;1.19;41;30;20;2.9;12;3;4;7;22.9;22.2;76.6;34;35;-1;10;3;9;14;0.05;83;124;0.40;0.80;24;43;31;48;28;33;24;46;32;36;49;85;0;2;1;0;0;0;0;0;0;1;1;0;3;0;1;0;9;2;2;0;2;3;0;11;1;5;1;5;4;3.3;1;0;0;0;0;318;296;236;218;168;158;14.4;10.8;46;36;16;9;13;9;21;10;34;19;102;157;157;172;25;35;16;17;0.9;0.6;1.5;;;;1249.39;50;43;104.2;10.4;0.35
Barber;Riley;Right wing;RW;WSH;USA;72;193;R;3;0;0;0;0;0;0;0.3;0;37;1544;25.8;8.58;0.17;0.00;0.00;1;1000;0;0;0.00;0;0;3;2;2;0.1;0;0;0;0;25.5;26;0;1;4;-3;0;0;0;0;0.00;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;17;27;13;19;10;12;0.7;0.6;2;2;0;0;1;1;1;0;2;1;11;14;10;15;5;2;1;2;-0.1;0;0;;;;123.26;1;0;102.5;-0.4;-0.12
Barberio;Mark;Defense;D;COL/MTL;CAN;73;207;L;60;2;11;6;5;13;-5;-1.8;14;1330;65740;1092.1;18.27;0.32;0.33;0.07;0.929;1003;2.2;1.98;0.53;4;0.22;198;129;80;5;11;8;9;17;47.8;45.8;164.8;20;62;-42;49;33;16;55;0.06;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;7;42;0;0;19;18;0;1;42;7;4;6;4;-3;4.1;7;0;0;0;0;1055;892;763;687;538;508;47.9;44.5;166;148;40;36;41;45;47;46;88;91;538;476;277;363;145;132;57;53;0.3;2.3;2.6;;;;2320.95;89;5.1;107;19.3;0.32
Barkov;Aleksander;Center;C;FLA;FIN;75;213;L;61;21;31;21;10;52;13;5.2;10;1469;71010;1182.5;19.4;0.32;0.74;0.09;0.919;1014;3.55;2.13;0.63;28;1.42;226;189;142;15.2;57;8;11;19;27.3;26.9;291.8;39;90;-51;47;30;49;30;0.04;476;547;0.47;0.85;123;149;163;182;190;216;133;184;173;150;293;348;2;6;5;0;0;0;3;0;6;2;2;0;8;0;0;0;47;12;1;29;27;8;0;65;5;17;4;17;12;11;5;0;0;0;0;1269;841;986;692;741;521;64.8;43.9;219;151;70;42;53;44;47;32;100;76;558;653;254;329;173;151;63;66;4.8;2.1;6.9;10;7;3;2469.46;79;17.6;107.1;58.7;0.96
Barrie;Tyson;Defense;D;COL;CAN;70;190;R;74;7;31;20;11;38;-34;-9.3;18;2050;103486;1719.9;23.3;0.40;0.60;0.07;0.902;972;2.2;2.93;0.43;-21;-0.73;407;277;182;9.7;15;8;9;17;47.7;48.1;490.6;32;91;-59;97;51;22;75;0.05;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;2;2;0;0;3;0;4;7;86;6;0;68;13;0;0;95;9;9;9;6;0;6.8;9;0;0;0;0;1682;1416;1258;1128;894;855;77.5;63.8;255;214;63;84;54;47;52;54;106;101;978;775;518;475;208;201;95;111;2.8;1.6;4.4;;;;2604.83;125;6;108.1;35.3;0.48
Bartkowski;Matt;Defense;D;CGY;USA;73;196;L;24;1;1;0;1;2;-4;-5.2;26;523;22158;368.9;15.38;0.29;0.15;0.09;0.913;1000;2.11;3.09;0.41;-6;-0.98;49;28;16;0.7;0;1;2;3;50.1;49.2;0;46;21;25;12;13;3;12;0.03;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;10;0;0;6;0;0;0;10;6;1;4;1;-5;-1.2;3;2;0;0;1;289;361;202;281;150;219;11;16.9;34;57;13;19;11;15;16;13;27;28;161;171;158;111;58;47;21;24;-0.1;0.5;0.4;;;;924.83;86;16.3;105.7;-0.6;-0.03
Barzal;Mathew;Center;C;NYI;CAN;72;182;R;2;0;0;0;0;0;-2;-1.8;6;32;1170;19.5;9.75;0.17;0.00;0.00;0.857;857;0;6.16;0.00;-2;-6.16;0;0;0;0;0;0;0;0;0;NA;0;1;1;0;0;0;0;0;0.00;6;7;0.46;0.87;1;2;2;3;3;2;1;1;2;3;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;-3;-3;3;0;0;0;0;12;28;11;18;8;14;0.5;1.5;1;5;0;2;0;3;0;1;0;4;7;8;8;7;5;4;3;0;-0.1;-0.1;-0.1;;;;96.95;7;0.3;123.2;-1.6;-0.81
Bass;Cody;Center;C;NSH;CAN;72;205;R;9;0;0;0;0;0;-1;-1.8;19;99;3654;60.9;6.77;0.14;0.00;0.00;0.971;971;0;0.99;0.00;-1;-0.99;3;1;1;0;0;0;0;0;57;56.6;0;14;10;4;0;1;2;4;0.06;0;2;0.00;0.04;0;0;0;1;0;1;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;1;5;4;-4;-1;2;3;0;0;0;27;69;21;45;13;35;0.9;2.3;1;9;0;1;0;2;1;2;1;4;27;28;42;35;9;6;6;5;-0.2;0;-0.1;;;;383.47;40;8;94.6;-1.8;-0.21
Beagle;Jay;Center;C/RW;WSH;CAN;75;215;R;81;13;17;13;4;30;20;-2.4;22;1587;66251;1101.6;13.63;0.24;0.73;0.10;0.92;1020;2.23;2.56;0.47;-6;-0.33;158;136;100;11.4;47;11;5;16;24.9;23.4;188.8;55;59;-4;36;26;11;44;0.04;624;483;0.56;0.91;333;253;189;152;102;78;191;160;247;178;342;267;1;4;4;0;0;0;1;0;0;0;3;1;8;1;0;1;34;17;0;6;16;13;2;46;11;12;11;9;1;-1.3;11;0;0;0;0;745;1145;565;860;409;585;35.7;59.4;128;218;41;47;32;47;38;58;70;105;672;541;481;426;179;122;71;73;1.6;1.9;3.5;;;;3444.06;121;6;102.9;29.5;0.36
Beauchemin;Francois;Defense;D;COL;CAN;73;208;L;81;5;13;8;5;18;-14;-12;32;2157;104566;1733.9;21.52;0.37;0.32;0.07;0.897;970;1.94;3.46;0.36;-44;-1.52;279;189;132;5.4;8;4;10;14;55.2;48.2;218.9;73;48;25;57;47;28;156;0.09;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;2;0;1;4;52;0;1;75;11;1;1;43;16;7;16;6;-9;0;16;0;0;0;0;1419;1781;1069;1316;768;969;60.4;81.2;182;261;56;100;44;66;70;57;114;123;909;830;585;409;194;212;99;74;0.4;3.3;3.7;;;;3000.7;261;6.3;110.7;19.9;0.25
Beaulieu;Nathan;Defense;D;MTL;CAN;74;205;L;74;4;24;14;10;28;8;0;44;1742;86490;1439.3;19.48;0.34;0.36;0.11;0.924;1031;3.25;2.29;0.59;23;0.96;235;159;118;5.7;10;8;12;20;49.4;44.6;189.1;65;176;-111;41;71;16;102;0.08;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;0;0;0;2;1;4;6;30;2;0;30;10;1;1;74;15;11;14;12;-4;3.7;12;2;0;0;1;1407;1316;1014;948;729;720;65.9;62.5;224;206;78;55;48;60;91;93;139;153;646;600;538;765;268;153;86;76;1.7;3.9;5.6;;;;2833.18;213;6.8;113.5;35.2;0.48
